Concept	Pronunciation	Phon_1st	KF	ln(KF)	BNC	ln(BNC)	Familiarity	Length_Letters	Length_Phonemes	Length_Syllables	Bigram	Trigram	ColtheartN	Num_Feats_Tax	Num_Feats_No_Tax	Num_Disting_Feats_No_Tax	Disting_Feats_%_No_Tax	Mean_Distinct_No_Tax	Mean_CV_No_Tax	Density_No_Tax	Num_Corred_Pairs_No_Tax	%_Corred_Pairs_No_Tax	Num_Func	Num_Vis_Mot	Num_VisF&S	Num_Vis_Col	Num_Sound	Num_Taste	Num_Smell	Num_Tact	Num_Ency	Num_Tax
catapult	  - 	k	1	0.00	189	5.24	2.15	8	8	3	235.60	15.17	0	9	8	3	37.5	0.310	0.294	0.00	0	0	4	0	3	0	0	0	0	0	1	1
caterpillar	  - 	k	2	0.69	375	5.93	5.35	11	8	4	0.00	0.00	0	14	13	4	30.8	0.297	0.304	20.91	2	6	1	2	3	3	0	0	0	1	3	1
catfish	[k&t][fIS]	k	2	0.69	232	5.45	3.35	7	6	2	355.23	29.90	0	10	9	0	0.0	0.115	0.124	639.93	21	58	1	2	4	0	0	0	0	0	2	1
cathedral	[k@][Ti:][dr@l]	k	11	2.40	2723	7.91	4.70	9	8	3	263.93	35.48	0	13	11	3	27.3	0.399	0.380	637.90	10	36	5	0	4	0	0	0	0	0	2	2
cauliflower	  - 	k	1	0.00	130	4.87	6.80	11	8	4	0.00	0.00	0	14	13	2	15.4	0.194	0.200	326.25	17	31	5	0	2	2	0	1	0	0	3	1
cedar	[si:][d@r*]	s	1	0.00	236	5.46	5.50	5	5	2	212.10	7.78	0	15	11	3	27.3	0.259	0.204	335.01	13	46	3	0	5	1	0	0	1	0	1	4
celery	[sE][l@][rI]	s	4	1.39	196	5.28	7.55	6	6	3	558.12	22.93	0	15	14	4	28.6	0.340	0.350	300.62	20	44	2	0	4	1	0	2	0	1	4	1
cellar	[sE][l@r*]	s	27	3.30	945	6.85	4.70	6	5	2	475.50	71.71	1	10	9	3	33.3	0.331	0.351	195.44	10	67	3	0	2	0	0	0	0	2	2	1
cello	[tSE][l@U]	tS	1	0.00	242	5.49	2.75	5	4	2	322.77	78.83	3	9	8	3	37.5	0.430	0.414	0.00	0	0	1	0	3	0	2	0	0	0	2	1
certificate	  - 	s	8	2.08	3728	8.22	6.95	11	9	4	0.00	0.00	0	12	10	8	80.0	0.774	0.762	0.00	0	0	4	0	4	0	0	0	0	0	2	2
chain	[tSeIn]	tS	60	4.09	5015	8.52	7.05	5	3	1	1160.95	474.04	1	11	10	2	20.0	0.240	0.219	18.24	2	7	2	0	4	2	0	0	0	0	2	1
chair	[tSE@r*]	tS	89	4.49	10023	9.21	8.70	5	3	1	1594.15	158.01	2	16	15	7	46.7	0.398	0.425	295.15	9	32	3	0	7	0	0	0	0	2	3	1
chandelier	[S&n][d@][lI@r*]	S	4	1.39	217	5.38	6.50	10	8	3	213.28	0.00	0	15	14	7	50.0	0.418	0.440	57.08	2	10	3	0	7	0	0	0	0	1	3	1
chapel	"[tS&][pl,]"	tS	22	3.09	2443	7.80	5.25	6	4	2	617.52	193.00	0	11	11	5	45.5	0.492	0.485	758.91	14	93	3	0	1	0	0	0	0	0	7	0
cheese	[tSi:z]	tS	9	2.20	2984	8.00	8.25	6	3	1	726.99	67.33	0	19	15	5	33.3	0.405	0.398	59.00	4	9	5	0	0	3	0	2	1	2	2	4
cheetah	[tSi:][t@]	tS	1	0.00	152	5.02	3.40	7	4	2	354.00	29.71	0	13	9	1	11.1	0.206	0.214	85.99	7	25	1	2	1	2	0	0	0	1	2	4
cherry	[tSE][rI]	tS	8	2.08	1096	7.00	6.90	6	4	2	457.23	43.32	2	12	10	1	10.0	0.147	0.171	234.85	12	33	1	0	4	1	0	2	0	0	2	2
chickadee	  - 	tS	1	0.00	4	1.39	3.80	9	6	3	133.44	16.29	0	15	12	0	0.0	0.047	0.045	609.85	20	30	0	1	5	3	2	0	0	0	1	3
chicken	[tSI][kIn]	tS	50	3.91	2579	7.86	7.95	7	5	2	583.27	134.97	1	20	18	6	33.3	0.314	0.308	517.13	18	27	2	4	4	0	2	0	0	0	6	2
chimp	[tSImp]	tS	1	0.00	176	5.17	3.25	5	4	1	2156.79	209.31	4	17	14	5	35.7	0.332	0.304	95.62	5	14	1	5	2	1	0	0	0	0	5	3
chipmunk	  - 	tS	1	0.00	26	3.26	6.00	8	7	2	317.21	118.84	0	14	12	2	16.7	0.203	0.195	100.55	5	11	0	3	3	2	0	0	0	1	3	2
chisel	"[tSI][zl,]"	tS	5	1.61	233	5.45	3.85	6	4	2	807.15	59.53	0	10	9	6	66.7	0.676	0.674	0.00	0	0	5	0	2	0	0	0	0	1	1	1
church	[tS3:tS]	tS	144	4.97	24058	10.09	6.10	6	3	1	639.45	196.06	0	15	14	8	57.1	0.542	0.549	657.66	10	67	4	0	4	0	0	0	0	0	6	1
